FILTER Phase FILTER FMAG FERR
197 2.17 V 13.556 0.032
200 2.78 V 13.591 0.022000000000000002
205 3.04 V 13.581 0.022000000000000002
210 3.17 V 13.558 0.022000000000000002
214 3.81 V 13.616 0.022000000000000002
217 4.16 V 13.554 0.022000000000000002
221 5.02 V 13.624 0.022000000000000002
225 8.95 V 13.732999999999999 0.022000000000000002
230 9.06 V 13.74 0.022000000000000002
234 9.1 V 13.709000000000001 0.033
237 9.4 V 13.717 0.031
242 10.02 V 13.797 0.022000000000000002
247 10.16 V 13.808 0.022000000000000002
251 11.11 V 13.867 0.027000000000000003
256 11.14 V 13.866 0.032
261 12.16 V 13.894 0.028999999999999998
266 13.09 V 13.946 0.034
270 14.01 V 14.015 0.022000000000000002
275 14.16 V 14.002 0.022000000000000002
280 15.0 V 14.071 0.022000000000000002
285 15.13 V 14.052999999999999 0.027000000000000003
290 16.05 V 14.134 0.022000000000000002
294 16.08 V 14.118 0.023
299 16.13 V 14.119000000000002 0.028999999999999998
304 17.0 V 14.177999999999999 0.022000000000000002
308 17.01 V 14.195 0.022000000000000002
313 17.13 V 14.162 0.022000000000000002
317 17.83 V 14.222000000000001 0.022000000000000002
322 18.07 V 14.21 0.026000000000000002
326 18.41 V 14.279000000000002 0.022000000000000002
330 19.78 V 14.323 0.022000000000000002
335 20.07 V 14.308 0.022000000000000002
339 20.17 V 14.350999999999999 0.022000000000000002
343 20.79 V 14.405 0.022000000000000002
347 21.0 V 14.369000000000002 0.022000000000000002
352 22.11 V 14.43 0.026000000000000002
357 24.02 V 14.535 0.022000000000000002
362 24.07 V 14.505999999999998 0.024
366 25.82 V 14.636 0.022000000000000002
370 25.93 V 14.663 0.022000000000000002
374 25.95 V 14.645 0.022000000000000002
379 26.04 V 14.626 0.021
383 26.07 V 14.61 0.027000000000000003
387 26.1 V 14.662 0.022000000000000002
392 28.07 V 14.738 0.024
396 28.76 V 14.829 0.022000000000000002
400 28.97 V 14.812999999999999 0.022000000000000002
405 29.06 V 14.817 0.022000000000000002
408 29.37 V 14.811 0.026000000000000002
412 29.76 V 14.904000000000002 0.022000000000000002
416 30.04 V 14.859000000000002 0.022000000000000002
421 30.07 V 14.854000000000001 0.023
425 31.73 V 15.004000000000001 0.022000000000000002
430 32.05 V 14.943 0.022000000000000002
434 35.74 V 15.302 0.022000000000000002
438 35.88 V 15.244000000000002 0.022000000000000002
443 37.04 V 15.323 0.027000000000000003
447 37.14 V 15.285 0.027000000000000003
452 39.04 V 15.368 0.022000000000000002
456 39.94 V 15.472999999999999 0.022000000000000002
461 41.04 V 15.482000000000001 0.022000000000000002
465 41.1 V 15.48 0.024
469 42.74 V 15.58 0.022000000000000002
472 42.95 V 15.554 0.022000000000000002
477 43.07 V 15.574000000000002 0.022000000000000002
482 45.03 V 15.600999999999999 0.022000000000000002
486 45.89 V 15.661 0.022000000000000002
491 47.03 V 15.649000000000001 0.022000000000000002
495 47.34 V 15.690999999999999 0.022000000000000002
500 49.03 V 15.683 0.032
505 51.03 V 15.775 0.032
510 53.03 V 15.82 0.032
515 55.03 V 15.924000000000001 0.032
519 55.05 V 15.886 0.032
524 57.03 V 15.901 0.032
529 59.03 V 15.963 0.032
533 63.02 V 16.14 0.037000000000000005
536 66.02 V 16.164 0.032
539 67.35 V 16.24 0.032
543 69.01 V 16.259 0.032
547 70.35 V 16.309 0.032
551 71.35 V 16.35 0.064
553 72.01 V 16.31 0.032
557 75.01 V 16.421 0.032
561 78.01 V 16.429000000000002 0.032
565 81.0 V 16.573 0.032
569 84.0 V 16.663 0.034
573 84.99 V 16.646 0.032
577 88.0 V 16.706 0.031
581 90.99 V 16.844 0.039
